response_id,timestamp,date,channel,page_url,device,csat_score,nps_score,ces_score,verbatim,journey_stage,sentiment,resolved
MED-5032,2026-04-17T16:46:00,2026-04-17,web_intercept,/rewards/signup,desktop,1,2,6,Tried three different email addresses to sign up for rewards. None of them worked. What email format do you want??,signup,negative,False
MED-5033,2026-04-17T17:55:00,2026-04-17,post_purchase,/order/checkout,desktop,1,4,6,The checkout page took forever to load and then my form data disappeared when I hit submit. Just let me buy my margarita kit!,checkout,negative,False
MED-5034,2026-04-17T08:37:00,2026-04-17,post_purchase,/locations,mobile,3,9,2,Tried to find your Austin location hours and they were listed differently on the locations page vs Google Maps.,browse,neutral,True
MED-5035,2026-04-17T09:31:00,2026-04-17,web_intercept,/order/build-your-own,mobile,2,4,6,The ingredient selector is really cool in concept but the price doesn't update when you add things. I had no idea what I was going to pay.,build,negative,False
MED-5036,2026-04-17T20:53:00,2026-04-17,web_intercept,/order/checkout,desktop,3,2,6,The checkout error message flashes for half a second and then the form resets. I have no idea what I did wrong.,checkout,neutral,False
MED-5037,2026-04-17T20:55:00,2026-04-17,email_survey,/order/build-your-own,desktop,4,3,6,On my phone the ingredient images overlap the selection buttons. Can't tell what I'm picking.,build,positive,False
MED-5038,2026-04-18T08:13:00,2026-04-18,app_feedback,/rewards/signup,mobile,1,2,7,My email has a period in it (first.last@email.com) and your form says it's invalid. Come on.,signup,negative,False
MED-5039,2026-04-18T10:40:00,2026-04-18,web_intercept,/order/build-your-own,mobile,2,2,4,Love the build-your-own concept but the UI is broken on mobile. Buttons are hidden behind images.,build,negative,False
MED-5040,2026-04-18T14:59:00,2026-04-18,web_intercept,/catering,mobile,4,7,1,Your website loads really fast on desktop. Nice job.,browse,positive,False
MED-5041,2026-04-18T17:05:00,2026-04-18,email_survey,/rewards/signup,mobile,2,4,5,"The signup form won't accept my email address. No error message, just nothing happens when I click submit.",signup,negative,False
MED-5042,2026-04-18T22:51:00,2026-04-18,email_survey,/order/checkout,desktop,3,0,6,Checkout on mobile is unusable. Everything shifts around and the form fields jump.,checkout,neutral,True
MED-5043,2026-04-18T18:51:00,2026-04-18,web_intercept,/rewards/signup,desktop,3,3,5,"The signup form won't accept my email address. No error message, just nothing happens when I click submit.",signup,neutral,True
MED-5044,2026-04-18T14:33:00,2026-04-18,web_intercept,/catering,desktop,3,10,1,Mobile site needs work. Some buttons are hard to tap.,browse,neutral,True
MED-5045,2026-04-18T18:01:00,2026-04-18,post_purchase,/order/checkout,mobile,2,3,5,The checkout error message flashes for half a second and then the form resets. I have no idea what I did wrong.,checkout,negative,False
MED-5046,2026-04-18T22:42:00,2026-04-18,web_intercept,/rewards/signup,mobile,1,3,5,Tried three different email addresses to sign up for rewards. None of them worked. What email format do you want??,signup,negative,False
MED-5047,2026-04-18T10:44:00,2026-04-18,web_intercept,/rewards/login,mobile,3,2,5,Tried logging into my rewards account to check my points. The page just refreshes with no feedback.,login,neutral,True
MED-5048,2026-04-18T09:53:00,2026-04-18,web_intercept,/order/build-your-own,mobile,2,4,4,"Built my dream margarita, went to checkout, and the price was completely different from what was shown. Very frustrating.",build,negative,False
MED-5049,2026-04-18T08:01:00,2026-04-18,post_purchase,/order/checkout,desktop,1,4,5,The checkout error message flashes for half a second and then the form resets. I have no idea what I did wrong.,checkout,negative,True
MED-5050,2026-04-18T14:05:00,2026-04-18,web_intercept,/order/checkout,mobile,1,0,6,Checkout on mobile is unusable. Everything shifts around and the form fields jump.,checkout,negative,False
MED-5051,2026-04-18T19:22:00,2026-04-18,email_survey,/catering,mobile,5,9,3,Would love to see nutritional info on the menu pages.,browse,positive,False
MED-5052,2026-04-18T09:17:00,2026-04-18,web_intercept,/order/build-your-own,mobile,2,3,5,The ingredient selector is really cool in concept but the price doesn't update when you add things. I had no idea what I was going to pay.,build,negative,False
MED-5053,2026-04-18T12:04:00,2026-04-18,web_intercept,/rewards/login,desktop,4,5,4,"Login doesn't work. No error message, no 'wrong password' message, just... nothing. The button grays out and that's it.",login,positive,True
MED-5054,2026-04-18T20:20:00,2026-04-18,web_intercept,/order/checkout,desktop,3,3,6,"I filled out my entire address and when it said my zip code was wrong, it cleared EVERYTHING. I had to start over three times before I gave up.",checkout,neutral,True
MED-5055,2026-04-18T09:37:00,2026-04-18,app_feedback,/order/checkout,desktop,1,2,6,My card got charged but the page showed an error and cleared everything. Now I don't know if my order went through.,checkout,negative,False
MED-5056,2026-04-18T17:05:00,2026-04-18,web_intercept,/rewards/signup,mobile,3,1,7,I want to join the rewards program but the email field rejects my address. Please fix this.,signup,neutral,True
MED-5057,2026-04-18T20:20:00,2026-04-18,email_survey,/,mobile,5,10,3,The blog content is great! Learned a lot about tequila varieties.,browse,positive,True
MED-5058,2026-04-19T19:18:00,2026-04-19,post_purchase,/order/checkout,desktop,2,1,5,Spent 10 minutes trying to complete an order. Address keeps clearing. I'm done.,checkout,negative,False
MED-5059,2026-04-19T12:33:00,2026-04-19,web_intercept,/catering,mobile,3,9,2,Love the menu selection. The spicy mango is incredible.,browse,neutral,True
MED-5060,2026-04-19T09:16:00,2026-04-19,post_purchase,/catering,desktop,5,6,1,Tried to find your Austin location hours and they were listed differently on the locations page vs Google Maps.,browse,positive,True
MED-5061,2026-04-19T12:32:00,2026-04-19,email_survey,/order/checkout,desktop,1,4,6,"Page is so slow I thought my browser crashed. Then the address form reset. This is 2026, how is this still a problem?",checkout,negative,False
MED-5062,2026-04-19T11:39:00,2026-04-19,web_intercept,/order/checkout,desktop,2,4,5,"Page is so slow I thought my browser crashed. Then the address form reset. This is 2026, how is this still a problem?",checkout,negative,False
MED-5063,2026-04-19T19:25:00,2026-04-19,email_survey,/rewards/signup,desktop,1,1,6,"The signup form won't accept my email address. No error message, just nothing happens when I click submit.",signup,negative,False
MED-5064,2026-04-19T21:59:00,2026-04-19,web_intercept,/order/checkout,mobile,2,0,5,Spent 10 minutes trying to complete an order. Address keeps clearing. I'm done.,checkout,negative,True
MED-5065,2026-04-19T21:35:00,2026-04-19,web_intercept,/order/checkout,mobile,3,2,7,Tried to order a party pack for Saturday. Checkout form wiped my address twice. Ended up ordering from a competitor.,checkout,neutral,True
MED-5066,2026-04-19T16:02:00,2026-04-19,web_intercept,/order/checkout,mobile,1,1,6,Checkout on mobile is unusable. Everything shifts around and the form fields jump.,checkout,negative,False
MED-5067,2026-04-19T13:44:00,2026-04-19,email_survey,/menu,mobile,4,7,2,"Catering quote form worked great, got a response within an hour.",browse,positive,False
MED-5068,2026-04-19T10:38:00,2026-04-19,post_purchase,/blog,desktop,5,10,3,The blog content is great! Learned a lot about tequila varieties.,browse,positive,True
MED-5069,2026-04-20T14:02:00,2026-04-20,web_intercept,/locations,mobile,3,10,3,Mobile site needs work. Some buttons are hard to tap.,browse,neutral,True
MED-5070,2026-04-20T20:44:00,2026-04-20,email_survey,/order/build-your-own,mobile,3,3,6,Price calculator seems broken - shows $0 no matter what I add. Had to call to find out the real price.,build,neutral,True
MED-5071,2026-04-20T08:11:00,2026-04-20,email_survey,/rewards/signup,desktop,2,4,5,I tried to sign up with my Gmail address (lisa.m+rewards@gmail.com) and it said invalid email. That IS a valid email!,signup,negative,False
MED-5072,2026-04-20T21:59:00,2026-04-20,post_purchase,/rewards/signup,mobile,3,4,6,I want to join the rewards program but the email field rejects my address. Please fix this.,signup,neutral,True
MED-5073,2026-04-20T09:58:00,2026-04-20,app_feedback,/order/checkout,mobile,2,1,5,Tried to order a party pack for Saturday. Checkout form wiped my address twice. Ended up ordering from a competitor.,checkout,negative,True
MED-5074,2026-04-20T10:08:00,2026-04-20,web_intercept,/order/build-your-own,mobile,2,4,5,Love the build-your-own concept but the UI is broken on mobile. Buttons are hidden behind images.,build,negative,False
MED-5075,2026-04-20T10:15:00,2026-04-20,web_intercept,/recipes,mobile,5,6,3,Tried to find your Austin location hours and they were listed differently on the locations page vs Google Maps.,browse,positive,True
MED-5076,2026-04-20T13:01:00,2026-04-20,web_intercept,/rewards/login,desktop,4,5,4,Tried logging into my rewards account to check my points. The page just refreshes with no feedback.,login,positive,False
MED-5077,2026-04-20T10:29:00,2026-04-20,email_survey,/order/checkout,desktop,2,1,7,The checkout page took forever to load and then my form data disappeared when I hit submit. Just let me buy my margarita kit!,checkout,negative,False
MED-5078,2026-04-20T08:04:00,2026-04-20,email_survey,/order/checkout,mobile,1,2,7,The checkout error message flashes for half a second and then the form resets. I have no idea what I did wrong.,checkout,negative,True
MED-5079,2026-04-20T19:00:00,2026-04-20,email_survey,/order/checkout,mobile,3,4,6,"I filled out my entire address and when it said my zip code was wrong, it cleared EVERYTHING. I had to start over three times before I gave up.",checkout,neutral,True
MED-5080,2026-04-20T21:58:00,2026-04-20,web_intercept,/order/checkout,desktop,3,3,5,Tried to order a party pack for Saturday. Checkout form wiped my address twice. Ended up ordering from a competitor.,checkout,neutral,False
MED-5081,2026-04-20T08:43:00,2026-04-20,email_survey,/rewards/signup,mobile,3,1,6,Wanted the 10% off first order through rewards but can't even sign up. Email validation is too strict.,signup,neutral,True
MED-5082,2026-04-21T19:58:00,2026-04-21,post_purchase,/catering,desktop,4,10,2,"Catering quote form worked great, got a response within an hour.",browse,positive,True
MED-5083,2026-04-21T16:16:00,2026-04-21,email_survey,/order/build-your-own,mobile,2,5,6,On my phone the ingredient images overlap the selection buttons. Can't tell what I'm picking.,build,negative,False
MED-5084,2026-04-21T16:11:00,2026-04-21,post_purchase,/order/checkout,mobile,2,4,6,Spent 10 minutes trying to complete an order. Address keeps clearing. I'm done.,checkout,negative,False
MED-5085,2026-04-21T11:19:00,2026-04-21,web_intercept,/order/checkout,mobile,3,0,5,"Page is so slow I thought my browser crashed. Then the address form reset. This is 2026, how is this still a problem?",checkout,neutral,True
MED-5086,2026-04-21T16:29:00,2026-04-21,web_intercept,/order/build-your-own,mobile,3,4,4,"Built my dream margarita, went to checkout, and the price was completely different from what was shown. Very frustrating.",build,neutral,True
MED-5087,2026-04-21T17:03:00,2026-04-21,email_survey,/recipes,mobile,5,7,2,"Catering quote form worked great, got a response within an hour.",browse,positive,True
MED-5088,2026-04-21T14:21:00,2026-04-21,web_intercept,/rewards/login,desktop,3,3,4,I can't log in. I've reset my password twice and it still just does nothing when I click login.,login,neutral,True
MED-5089,2026-04-21T18:48:00,2026-04-21,app_feedback,/rewards/signup,mobile,3,1,5,Tried three different email addresses to sign up for rewards. None of them worked. What email format do you want??,signup,neutral,True
MED-5090,2026-04-21T08:46:00,2026-04-21,app_feedback,/locations,mobile,5,9,1,Tried to find your Austin location hours and they were listed differently on the locations page vs Google Maps.,browse,positive,True
MED-5091,2026-04-21T10:41:00,2026-04-21,web_intercept,/rewards/login,mobile,3,5,6,Is the rewards login broken? I've tried 5 times and it silently fails every time.,login,neutral,True
MED-5092,2026-04-21T10:39:00,2026-04-21,post_purchase,/rewards/login,desktop,3,4,6,I can't log in. I've reset my password twice and it still just does nothing when I click login.,login,neutral,False
MED-5093,2026-04-21T15:43:00,2026-04-21,email_survey,/rewards/signup,mobile,1,4,6,Tried three different email addresses to sign up for rewards. None of them worked. What email format do you want??,signup,negative,False
MED-5094,2026-04-21T22:57:00,2026-04-21,email_survey,/rewards/login,mobile,4,5,4,Tried logging into my rewards account to check my points. The page just refreshes with no feedback.,login,positive,True
MED-5095,2026-04-21T19:12:00,2026-04-21,email_survey,/order/checkout,desktop,2,3,6,The checkout error message flashes for half a second and then the form resets. I have no idea what I did wrong.,checkout,negative,True
MED-5096,2026-04-21T11:08:00,2026-04-21,email_survey,/menu,mobile,5,6,1,Mobile site needs work. Some buttons are hard to tap.,browse,positive,False
MED-5097,2026-04-21T11:38:00,2026-04-21,web_intercept,/menu,mobile,5,6,1,Your website loads really fast on desktop. Nice job.,browse,positive,False
MED-5098,2026-04-21T13:58:00,2026-04-21,web_intercept,/order/checkout,desktop,2,3,6,"I filled out my entire address and when it said my zip code was wrong, it cleared EVERYTHING. I had to start over three times before I gave up.",checkout,negative,False
MED-5099,2026-04-21T21:55:00,2026-04-21,email_survey,/order/checkout,desktop,1,1,7,"I filled out my entire address and when it said my zip code was wrong, it cleared EVERYTHING. I had to start over three times before I gave up.",checkout,negative,False
MED-5100,2026-04-21T18:30:00,2026-04-21,app_feedback,/order/checkout,mobile,2,2,6,Spent 10 minutes trying to complete an order. Address keeps clearing. I'm done.,checkout,negative,False
MED-5101,2026-04-21T16:38:00,2026-04-21,email_survey,/order/build-your-own,mobile,3,2,5,Price calculator seems broken - shows $0 no matter what I add. Had to call to find out the real price.,build,neutral,True
MED-5102,2026-04-22T13:22:00,2026-04-22,app_feedback,/catering,mobile,5,8,3,"Great margaritas, website could use some work though.",browse,positive,True
MED-5103,2026-04-22T21:14:00,2026-04-22,app_feedback,/order/build-your-own,mobile,4,4,5,On my phone the ingredient images overlap the selection buttons. Can't tell what I'm picking.,build,positive,True
MED-5104,2026-04-22T09:22:00,2026-04-22,web_intercept,/,desktop,5,9,1,Mobile site needs work. Some buttons are hard to tap.,browse,positive,True
MED-5105,2026-04-22T16:25:00,2026-04-22,post_purchase,/order/build-your-own,mobile,2,3,6,The ingredient selector is really cool in concept but the price doesn't update when you add things. I had no idea what I was going to pay.,build,negative,True
MED-5106,2026-04-22T10:56:00,2026-04-22,web_intercept,/catering,desktop,4,8,2,Would love to see nutritional info on the menu pages.,browse,positive,True
MED-5107,2026-04-22T08:08:00,2026-04-22,email_survey,/locations,mobile,3,6,2,"Great margaritas, website could use some work though.",browse,neutral,True
MED-5108,2026-04-22T22:07:00,2026-04-22,web_intercept,/order/build-your-own,mobile,2,2,4,On my phone the ingredient images overlap the selection buttons. Can't tell what I'm picking.,build,negative,False
MED-5109,2026-04-22T15:24:00,2026-04-22,web_intercept,/order/checkout,mobile,3,4,7,My card got charged but the page showed an error and cleared everything. Now I don't know if my order went through.,checkout,neutral,True
MED-5110,2026-04-22T21:56:00,2026-04-22,web_intercept,/locations,mobile,4,10,2,The blog content is great! Learned a lot about tequila varieties.,browse,positive,True
MED-5111,2026-04-22T11:06:00,2026-04-22,email_survey,/blog,desktop,5,7,2,Your website loads really fast on desktop. Nice job.,browse,positive,True
MED-5112,2026-04-22T10:01:00,2026-04-22,web_intercept,/,mobile,3,8,2,Tried to find your Austin location hours and they were listed differently on the locations page vs Google Maps.,browse,neutral,True
MED-5113,2026-04-23T14:38:00,2026-04-23,web_intercept,/order/checkout,mobile,2,2,6,The checkout page took forever to load and then my form data disappeared when I hit submit. Just let me buy my margarita kit!,checkout,negative,True
MED-5114,2026-04-23T12:42:00,2026-04-23,email_survey,/order/checkout,mobile,2,0,6,Tried to order a party pack for Saturday. Checkout form wiped my address twice. Ended up ordering from a competitor.,checkout,negative,False
MED-5115,2026-04-23T11:39:00,2026-04-23,web_intercept,/rewards/login,desktop,2,2,6,The login button seems to submit but then nothing changes. Am I logged in? Am I not? Who knows.,login,negative,False
MED-5116,2026-04-23T20:07:00,2026-04-23,email_survey,/order/build-your-own,mobile,2,2,4,Love the build-your-own concept but the UI is broken on mobile. Buttons are hidden behind images.,build,negative,False
MED-5117,2026-04-23T21:16:00,2026-04-23,web_intercept,/order/checkout,desktop,2,0,7,Why does the page jump around so much when I'm trying to enter my credit card? The layout kept shifting and I accidentally clicked the wrong button.,checkout,negative,True
MED-5118,2026-04-23T18:38:00,2026-04-23,post_purchase,/order/checkout,desktop,3,0,7,My card got charged but the page showed an error and cleared everything. Now I don't know if my order went through.,checkout,neutral,True
MED-5119,2026-04-23T19:29:00,2026-04-23,app_feedback,/order/build-your-own,mobile,4,5,4,Love the build-your-own concept but the UI is broken on mobile. Buttons are hidden behind images.,build,positive,True
MED-5120,2026-04-23T22:41:00,2026-04-23,post_purchase,/menu,mobile,5,10,1,"Catering quote form worked great, got a response within an hour.",browse,positive,True
MED-5121,2026-04-23T12:24:00,2026-04-23,web_intercept,/rewards/login,desktop,4,5,6,I can't log in. I've reset my password twice and it still just does nothing when I click login.,login,positive,True
MED-5122,2026-04-23T13:08:00,2026-04-23,web_intercept,/order/build-your-own,desktop,4,3,6,Love the build-your-own concept but the UI is broken on mobile. Buttons are hidden behind images.,build,positive,False
MED-5123,2026-04-23T11:13:00,2026-04-23,web_intercept,/rewards/login,mobile,3,3,6,Is the rewards login broken? I've tried 5 times and it silently fails every time.,login,neutral,True
MED-5124,2026-04-24T15:17:00,2026-04-24,email_survey,/order/checkout,mobile,3,3,7,My card got charged but the page showed an error and cleared everything. Now I don't know if my order went through.,checkout,neutral,True
MED-5125,2026-04-24T12:01:00,2026-04-24,post_purchase,/rewards/signup,mobile,1,3,5,Wanted the 10% off first order through rewards but can't even sign up. Email validation is too strict.,signup,negative,False
MED-5126,2026-04-24T10:24:00,2026-04-24,post_purchase,/order/checkout,mobile,3,4,6,Spent 10 minutes trying to complete an order. Address keeps clearing. I'm done.,checkout,neutral,True
MED-5127,2026-04-24T09:30:00,2026-04-24,web_intercept,/,desktop,4,7,1,Really enjoy the recipes section. Made the classic lime at home!,browse,positive,True
MED-5128,2026-04-24T08:39:00,2026-04-24,email_survey,/catering,mobile,4,10,3,Your website loads really fast on desktop. Nice job.,browse,positive,True
MED-5129,2026-04-24T18:01:00,2026-04-24,email_survey,/rewards/login,mobile,2,4,6,I can't log in. I've reset my password twice and it still just does nothing when I click login.,login,negative,False
MED-5130,2026-04-24T11:36:00,2026-04-24,post_purchase,/order/checkout,mobile,3,2,7,Why does the page jump around so much when I'm trying to enter my credit card? The layout kept shifting and I accidentally clicked the wrong button.,checkout,neutral,True
MED-5131,2026-04-24T19:03:00,2026-04-24,web_intercept,/order/checkout,desktop,3,3,6,Tried to order a party pack for Saturday. Checkout form wiped my address twice. Ended up ordering from a competitor.,checkout,neutral,True
MED-5132,2026-04-24T14:57:00,2026-04-24,web_intercept,/rewards/login,mobile,4,5,5,"I know my password is correct because I just set it up, but the login just spins and nothing happens.",login,positive,True
MED-5133,2026-04-24T22:04:00,2026-04-24,post_purchase,/order/checkout,desktop,2,1,5,The checkout page took forever to load and then my form data disappeared when I hit submit. Just let me buy my margarita kit!,checkout,negative,True
MED-5134,2026-04-24T17:38:00,2026-04-24,email_survey,/order/checkout,mobile,3,2,7,"Page is so slow I thought my browser crashed. Then the address form reset. This is 2026, how is this still a problem?",checkout,neutral,True
MED-5135,2026-04-24T22:23:00,2026-04-24,post_purchase,/order/checkout,mobile,1,3,6,Why does the page jump around so much when I'm trying to enter my credit card? The layout kept shifting and I accidentally clicked the wrong button.,checkout,negative,False
MED-5136,2026-04-24T08:28:00,2026-04-24,email_survey,/order/build-your-own,desktop,2,5,6,Love the build-your-own concept but the UI is broken on mobile. Buttons are hidden behind images.,build,negative,False
MED-5137,2026-04-24T14:30:00,2026-04-24,email_survey,/rewards/signup,desktop,1,4,7,I tried to sign up with my Gmail address (lisa.m+rewards@gmail.com) and it said invalid email. That IS a valid email!,signup,negative,True
MED-5138,2026-04-24T13:24:00,2026-04-24,email_survey,/order/checkout,desktop,2,1,5,Tried to order a party pack for Saturday. Checkout form wiped my address twice. Ended up ordering from a competitor.,checkout,negative,False
MED-5139,2026-04-24T11:26:00,2026-04-24,email_survey,/blog,mobile,5,10,3,Would love to see nutritional info on the menu pages.,browse,positive,True
MED-5140,2026-04-25T15:18:00,2026-04-25,email_survey,/order/checkout,mobile,1,2,6,The checkout error message flashes for half a second and then the form resets. I have no idea what I did wrong.,checkout,negative,False
MED-5141,2026-04-25T17:32:00,2026-04-25,app_feedback,/rewards/login,mobile,4,3,4,Is the rewards login broken? I've tried 5 times and it silently fails every time.,login,positive,True
MED-5142,2026-04-25T10:10:00,2026-04-25,email_survey,/catering,mobile,4,9,1,Would love to see nutritional info on the menu pages.,browse,positive,False
MED-5143,2026-04-25T17:46:00,2026-04-25,web_intercept,/blog,mobile,3,8,3,The party packs are an amazing deal. Ordered for my office happy hour.,browse,neutral,True
MED-5144,2026-04-25T15:21:00,2026-04-25,email_survey,/order/checkout,desktop,1,1,5,The checkout page took forever to load and then my form data disappeared when I hit submit. Just let me buy my margarita kit!,checkout,negative,True
MED-5145,2026-04-25T10:25:00,2026-04-25,app_feedback,/rewards/signup,desktop,3,2,5,I want to join the rewards program but the email field rejects my address. Please fix this.,signup,neutral,True
MED-5146,2026-04-25T20:12:00,2026-04-25,email_survey,/order/checkout,mobile,1,2,6,Why does the page jump around so much when I'm trying to enter my credit card? The layout kept shifting and I accidentally clicked the wrong button.,checkout,negative,False
MED-5147,2026-04-25T20:08:00,2026-04-25,web_intercept,/rewards/login,mobile,3,2,6,Tried logging into my rewards account to check my points. The page just refreshes with no feedback.,login,neutral,True
MED-5148,2026-04-25T21:57:00,2026-04-25,email_survey,/order/checkout,mobile,1,2,7,Why does the page jump around so much when I'm trying to enter my credit card? The layout kept shifting and I accidentally clicked the wrong button.,checkout,negative,False
MED-5149,2026-04-25T17:57:00,2026-04-25,post_purchase,/recipes,desktop,5,6,2,Would love to see nutritional info on the menu pages.,browse,positive,True
MED-5150,2026-04-25T12:56:00,2026-04-25,email_survey,/order/checkout,desktop,2,0,6,"I filled out my entire address and when it said my zip code was wrong, it cleared EVERYTHING. I had to start over three times before I gave up.",checkout,negative,False
MED-5151,2026-04-25T14:33:00,2026-04-25,email_survey,/,desktop,4,6,3,The blog content is great! Learned a lot about tequila varieties.,browse,positive,True
MED-5152,2026-04-26T13:32:00,2026-04-26,web_intercept,/order/checkout,desktop,3,1,6,Love your margaritas but your checkout is broken. Fix the address form please!,checkout,neutral,True
MED-5153,2026-04-26T19:34:00,2026-04-26,web_intercept,/menu,mobile,5,9,3,Love the menu selection. The spicy mango is incredible.,browse,positive,True
MED-5154,2026-04-26T09:56:00,2026-04-26,post_purchase,/menu,desktop,3,10,1,"Catering quote form worked great, got a response within an hour.",browse,neutral,True
MED-5155,2026-04-26T11:31:00,2026-04-26,web_intercept,/rewards/signup,mobile,3,4,7,"Signup form is broken. Used my normal email, clicked submit, nothing happened. No error, no confirmation, nothing.",signup,neutral,True
